,kind,link,name,pitch,joined,location,market,size,stage,raised,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric
434,Startup,https://angel.co/company/lensgen-inc,"LensGen, Inc.","
Implantable Lens to Treat Presbyopia and Cataracts  
",2013-09-01,Irvine,Healthcare,1-10,Series A,23450000,lensgen.com,6.734246575342466,3482200.97640358,1,1,5.0
435,Startup,https://angel.co/company/cornerstone-therapeutics-1,Cornerstone Therapeutics,"
Massachusetts Medical Cannabis
",2013-10-01,Boston,Marijuana,1-10,-,30000000,riverrockcolorado.com,6.652054794520548,4509884.678747941,1,1,5.0
436,Startup,https://angel.co/company/walker-company-brands,Walker &amp; Company Brands,"
Making health and beauty simple for people of color
",2014-01-01,Palo Alto,Beauty,11-50,Acquired,35700000,walkerandcompany.com,6.4,5578125.0,1,1,25.0
437,Startup,https://angel.co/company/eko-11,Eko,"
Craigslist of Healthcare
",2014-01-01,Berkeley,Diagnostics,11-50,Seed,27800000,ekohealth.com,6.4,4343750.0,1,1,25.0
440,Startup,https://angel.co/company/luma-health,Luma Health,"
Total patient engagement with Luma Health
",2015-03-01,San Francisco,Doctors,51-200,-,29100000,lumahealth.io,5.238356164383561,5555177.824267782,1,1,125.0
441,Startup,https://angel.co/company/roam-analytics,Roam Analytics,"
Quantifying Language for Modern Healthcare Companies
",2015-09-01,San Mateo,Machine Learning,11-50,Series A,22192013,roamanalytics.com,4.734246575342466,4687549.04224537,1,1,25.0
442,Startup,https://angel.co/company/simplehealth,Simple Health,"
Care that fits your life
",2016-01-01,New York City,Mobile Health,51-200,Series B,26000000,"simplehealth.com,",4.4,5909090.909090908,1,1,125.0
443,Startup,https://angel.co/company/healthengine-2,HealthEngine,"
Transforming access to healthcare
",2016-10-01,Perth,Technology,51-200,Series C,26700000,careers.healthengine.com.au,3.649315068493151,7316441.441441441,1,1,125.0
444,Startup,https://angel.co/company/validic,Validic,"
Access data from hundreds of health apps, wearables, and medical devices
",2011-05-01,Durham,Health and Insurance,51-200,Series B,18358500,validic.com,9.073972602739726,2023204.2572463767,1,1,125.0
445,Startup,https://angel.co/company/lumobodytech,Lumo Bodytech,"
Technology platform optimizing human biomechanics
",2011-11-01,Mountain View,Fitness,11-50,Series B,16100000,lumobodytech.com,8.56986301369863,1878676.4705882354,1,1,25.0
446,Startup,https://angel.co/company/chewse,Chewse,"
Provides hassle-free, locally-sourced, delicious food, delivered straight to your door
",2012-01-01,Austin,Hospitality,51-200,Series B,16000000,chewse.com,8.402739726027397,1904140.8542549724,1,1,125.0
447,Startup,https://angel.co/company/sano,Sano,"
",2012-06-01,San Francisco,Mobile Health,11-50,Seed,19500000,sano.co,7.986301369863014,2441680.960548885,1,1,25.0
448,Startup,https://angel.co/company/myfitnesspal,MyFitnessPal,"
Nutrition and fitness tracking
",2012-04-01,San Francisco,Fitness,51-200,Acquired,18000000,myfitnesspal.com,8.153424657534247,2207661.2903225804,1,1,125.0
449,Startup,https://angel.co/company/onehealth-solutions,OneHealth Solutions,"
Social peer support platform to improve health outcomes
",2012-05-01,Solana Beach,Social Media Platforms,11-50,Acquired,16000000,onehealth.com,8.07123287671233,1982348.9477257296,1,1,25.0
450,Startup,https://angel.co/company/virtual-health,-,"
We are the technology company changing the face of healthcare as we bring it into the 21st century
",2012-10-01,New York City,Application Platforms,51-200,Series B,19550000,virtualhealth.com,7.652054794520548,2554869.316147512,1,1,125.0
451,Startup,https://angel.co/company/whistle-labs,Whistle Labs,"
Transforming pet care. Backed by science, powered by love
",2012-11-01,San Francisco,Consumer Electronics,51-200,Series B,21000000,whistle.com,7.567123287671233,2775162.925416365,1,1,125.0
452,Startup,https://angel.co/company/humanapi,Human API,"
The easiest way for consumers to connect & share health data with any company
",2013-05-01,San Mateo,Real Time,11-50,Series A,16624982,humanapi.co,7.071232876712329,2351072.6191398683,1,1,25.0
453,Startup,https://angel.co/company/babyscripts-by-1eq,Babyscripts,"
Virtual Care for Obstetrics
",2013-03-01,Washington DC,Hospitals,11-50,Series A,19000000,babyscripts.com,7.238356164383561,2624905.374716124,1,1,25.0
454,Startup,https://angel.co/company/chartspan,ChartSpan,"
Value-Based Care Management Services
",2013-06-01,Greenville,Mobile Health,51-200,Series A,21150000,ChartSpan.com,6.986301369863014,3027352.9411764704,1,1,125.0
455,Startup,https://angel.co/company/figure-1,Figure 1,"
Sharing medical cases saves lives
",2013-06-01,Toronto,mHealth,11-50,Series B,21000000,figure1.com,6.986301369863014,3005882.3529411764,1,1,25.0
456,Startup,https://angel.co/company/nimalabs,Nima,"
trust your food 
",2013-08-01,San Francisco,Health and Wellness,11-50,Series A,17200000,nimasensor.com,6.8191780821917805,2522298.1116914423,1,1,25.0
457,Startup,https://angel.co/company/savioke,Savioke,"
Delivery Robots
",2017-08-01,San Jose,Robotics,11-50,Seed,17000000,savioke.com,2.8164383561643835,6035992.217898833,1,1,25.0
458,Startup,https://angel.co/company/aunt-bertha,Aunt Bertha,"
Connecting all people in need with programs that help them
",2016-10-01,Austin,Insurance,51-200,Series C,20800000,auntbertha.com,3.649315068493151,5699699.6996997,1,1,125.0
459,Startup,https://angel.co/company/hellojoany,JOANY,"
Health Insurance, Simple and Transparent
",2014-12-01,Los Angeles,Insurance,11-50,Series A,18950000,joany.com,5.484931506849315,3454920.07992008,1,1,25.0
460,Startup,https://angel.co/company/lemonaid-health,Lemonaid Health,"
",2015-08-01,San Francisco,Mobile Health,11-50,Series A,17600000,lemonaid.com,4.8191780821917805,3652075.0426378627,1,1,25.0
461,Startup,https://angel.co/company/sukihq,Suki,"
A voice-based digital assistant for doctors
",2017-06-01,Redwood City,Technology,11-50,Seed,20000000,suki.ai,2.9835616438356163,6703397.612488522,1,1,25.0
462,Startup,https://angel.co/company/godialogue,Dialogue,"
Impactful care/benefits. Affordable, mobile/online, for Canadian companies
",2016-06-01,Montréal-Nord,Corporate Wellness,201-500,Series A,16000000,dialogue.co,3.9835616438356163,4016506.189821183,1,1,350.0
463,Startup,https://angel.co/company/trustedhealth,Trusted Health,"
Powering the future of work in healthcare
",2017-04-01,Remote,Human Resources,51-200,Series A,20000000,trustedhealth.com,3.1506849315068495,6347826.0869565215,1,1,125.0
465,Startup,https://angel.co/company/digital-assent,Digital Assent,"
Helping hospitals improve patient satisfaction and grow their online reputation
",2012-09-01,Atlanta,Reviews and Recommendations,11-50,Acquired,12000000,digitalassent.com,7.734246575342466,1551540.9139213602,1,0,25.0
466,Startup,https://angel.co/company/elation,Elation Health,"
In defense of the doctor-patient relationship. Focus on phenomenal care with a Clinical First EHR
",2014-06-01,San Francisco,Physicians,11-50,Series B,15000000,elationhealth.com,5.986301369863014,2505720.8237986267,1,1,25.0
468,Startup,https://angel.co/company/procyrion,Procyrion,"
at the heart of cardiorenal syndrome
",2012-10-01,Houston,Medical Devices,1-10,Series B,12900000,procyrion.com,7.652054794520548,1685821.6970998927,1,1,5.0
469,Startup,https://angel.co/company/everplans,Everplans,"
A new approach to end-of-life and death
",2013-03-01,New York City,Personal Health,11-50,Seed,11920002,everplans.com,7.238356164383561,1646783.01665405,1,0,25.0
470,Startup,https://angel.co/company/rxrevu,RxREVU,"
Improving the value of healthcare through better prescribing decisions
",2014-01-01,Denver,Predictive Analytics,11-50,Series A,15900000,rxrevu.com,6.4,2484375.0,1,1,25.0
471,Startup,https://angel.co/company/livesafe,LiveSafe,"
",2013-09-01,-,Sports Stadiums,11-50,Series A,15750000,livesafemobile.com,6.734246575342466,2338791.7005695687,1,1,25.0
472,Startup,https://angel.co/company/aptible,Aptible,"
Security management tools for modern teams
",2013-06-01,Remote,Software Compliance,11-50,Seed,12120000,aptible.com,6.986301369863014,1734823.5294117646,1,1,25.0
473,Startup,https://angel.co/company/station-x,Station X,"
Decoding genomes for better healthcare
",2013-10-01,San Francisco,Diagnostics,11-50,Series A,15875000,stationxinc.com,6.652054794520548,2386480.642504119,1,1,25.0
474,Startup,https://angel.co/company/epatientfinder,ePatientFinder,"
Analytics Driven Patient Identification for Clinical Trials
",2013-08-01,Austin,Medical Devices,1-10,Series B,14975000,epatientfinder.com,6.8191780821917805,2196012.454801125,1,1,5.0
475,Startup,https://angel.co/company/klara-1,Klara,"
Helping doctors and patients communicate with ease
",2013-10-01,Berlin,Messaging,51-200,Series A,14500000,klara.com,6.652054794520548,2179777.5947281714,1,1,125.0
476,Startup,https://angel.co/company/sanity_and_self,Sanity &amp; Self,"
An expert-led A.I.-powered platform to heal the world!  
",2014-02-01,San Mateo,Mental Health,11-50,Series B,15000000,sanityandself.com,6.315068493150685,2375271.1496746205,1,1,25.0
477,Startup,https://angel.co/company/bright-md,Bright.md,"
Automating $150 billion of care delivery
",2013-12-01,Portland,Mobile Health,11-50,Series B,11500000,bright.md,6.484931506849315,1773341.7828474862,1,0,25.0
478,Startup,https://angel.co/company/coherohealth,Cohero Health,"
Connected health platform empowering respiratory patients
",2014-01-01,New York City,Sensors,1-10,Series A,12500000,coherohealth.com,6.4,1953125.0,1,1,5.0
479,Startup,https://angel.co/company/pdx-biotech-2,PDx BioTech,"
""Check oil light"" for oral diseases in human and veterinary medicine
",2014-02-01,Lexington,Veterinary,1-10,Seed,13800000,perio-dx.com;,6.315068493150685,2185249.4577006507,1,1,5.0
480,Startup,https://angel.co/company/motiv,Motiv,"
Keep Living Better
",2015-02-01,San Francisco,Fitness,11-50,Acquired,15668000,mymotiv.com,5.315068493150685,2947845.3608247424,1,1,25.0
482,Startup,https://angel.co/company/resilient-network-systems,Resilient Network Systems,"
Delivering Connected Trust
",2014-06-01,San Francisco,Governments,11-50,-,14900000,resilient-networks.com,5.986301369863014,2489016.018306636,1,1,25.0
483,Startup,https://angel.co/company/naked-labs,Naked Labs,"
Visualizing your body by using infrared light to capture your 3d body model
",2015-02-01,Redwood City,Fitness,11-50,Series A,14000000,nakedlabs.com,5.315068493150685,2634020.618556701,1,1,25.0
484,Startup,https://angel.co/company/greatist,Greatist,"
Next-gen brand for healthyish millennials
",2011-07-01,New York City,Digital Health,11-50,Acquired,8000000,greatist.com,8.906849315068493,898185.1737926792,1,0,25.0
485,Startup,https://angel.co/company/healthloop,HealthLoop,"
Empowering patients for better outcomes and lower costs
",2013-04-01,Mountain View,Mobile Health,11-50,Series A,10000000,healthloop.com,7.153424657534247,1397931.8268862504,1,0,25.0
486,Startup,https://angel.co/company/doctor-com,Doctor.com,"
The one stop shop for solutions and services for hospitals, clinics, and providers
",2012-06-01,Atlanta,,51-200,Series A,8200000,doctor.com,7.986301369863014,1026758.1475128644,1,0,125.0
487,Startup,https://angel.co/company/retracehealth-1,RetraceHealth,"
Personal, convenient, affordable primary care
",2013-04-01,Minneapolis,Technology,1-10,Series A,8000000,retracehealth.com,7.153424657534247,1118345.4615090003,1,0,5.0
489,Startup,https://angel.co/company/act-md,Activate Care,"
It takes a community
",2014-08-01,Boston,Health Care Information Technology,11-50,Series A,8400000,activatecare.com,5.8191780821917805,1443502.8248587572,1,0,25.0
490,Startup,https://angel.co/company/madaket-health,Madaket Health,"
Connecting healthcare providers, insurance companies and intermediaries
",2014-12-01,Cambridge,B2B,11-50,Series B,10000000,madakethealth.com,5.484931506849315,1823176.8231768233,1,0,25.0
491,Startup,https://angel.co/company/opternative,Visibly,"
The most convenient way to get a prescription for glasses or contacts
",2013-08-01,Chicago,Eyewear,11-50,Series A,9100000,govisibly.com,6.8191780821917805,1334471.6753716352,1,0,25.0
492,Startup,https://angel.co/company/polymathventures,Polymath Ventures,"
We are the Venture Studio for Latin America
",2014-01-01,Bogota,Corporate Wellness,11-50,Pre-Seed,8800000,polymathv.com,6.4,1375000.0,1,0,25.0
493,Startup,https://angel.co/company/8fit,8fit,"
Building healthy habits for life
",2014-02-01,Berlin,Fitness,51-200,Series A,9500000,8fit.com,6.315068493150685,1504338.3947939263,1,0,125.0
495,Startup,https://angel.co/company/vericred,Vericred,"
A healthcare data services company serving the health insurance industry
",2014-09-01,New York City,Information Services,11-50,Series A,9725000,vericred.com,5.734246575342466,1695950.7883420927,1,0,25.0
496,Startup,https://angel.co/company/oration,Oration,"
Disrupting the Business of Healthcare
",2014-06-01,Foster City,Big Data Analytics,11-50,Series A,11200000,oration.com,5.986301369863014,1870938.2151029748,1,0,25.0
497,Startup,https://angel.co/company/medigo,Medigo,"
The best in international healthcare for you, your family, and business. Live better
",2014-10-01,Berlin,Hospitals,11-50,Seed,9300000,medigo.com,5.652054794520548,1645419.2922927777,1,0,25.0
498,Startup,https://angel.co/company/docsapp,DocsApp,"
Making quality healthcare easily accessible to over a billion people! 
",2015-10-01,Bengaluru,Artificial Intelligence,201-500,Series A,8400000,docsapp.in,4.652054794520548,1805653.71024735,1,0,350.0
499,Startup,https://angel.co/company/peerwell,PeerWell,"
Surgery Optimization Platform for Musculoskeletal Health
",2015-02-01,Austin,Medical Technologies,11-50,Series A,8600000,peerwell.co,5.315068493150685,1618041.237113402,1,0,25.0
500,Startup,https://angel.co/company/lifen,Lifen,"
",2017-05-01,Paris,Computers,51-200,Series A,9000000,lifen.fr,3.0684931506849313,2933035.7142857146,1,0,125.0
501,Startup,https://angel.co/company/zenysis,Zenysis,"
Advanced analytics for developing countries
",2016-03-01,San Francisco,International Development,11-50,Series A,8003365,zenysis.com,4.235616438356164,1889539.6021992238,1,0,25.0
502,Startup,https://angel.co/company/caracare,Cara Care,"
We empower individuals to live a healthier and happier life
",2017-10-01,Berlin,Mobile Health,11-50,Series A,9000000,cara.care,2.649315068493151,3397104.4467425025,1,0,25.0
503,Startup,https://angel.co/company/simple-habit,Simple Habit,"
On a mission to help people live better, everyday
",2017-04-01,San Francisco,Alternative Medicine,11-50,Series A,10000000,simplehabit.com,3.1506849315068495,3173913.0434782607,1,0,25.0
505,Startup,https://angel.co/company/caremerge,caremerge,"
Healthcare Communication and Care Coordination Platform
",2012-01-01,Chicago,mHealth,11-50,Series A,6540000,caremerge.com,8.402739726027397,778317.57417672,1,0,25.0
506,Startup,https://angel.co/company/carelinx,CareLinx,"
Caregiver Marketplace:  Disrupting the $100B+ in-home care market. AARP Winner!
",2012-05-01,San Francisco,Baby Boomers,1-10,Acquired,7000000,carelinx.com,8.07123287671233,867277.6646300066,1,0,5.0
507,Startup,https://angel.co/company/medisafe,Medisafe,"
Leading Personalized Medication Management Platform helping patients manage their health
",2012-06-01,Boston,mHealth,11-50,Series A,7000000,medisafe.com,7.986301369863014,876500.8576329331,1,0,25.0
508,Startup,https://angel.co/company/blueboard,Blueboard,"
Employee Recognition for the Modern Workplace. Reward Top Employees with Experiences
",2012-09-01,San Francisco,Human Resources,51-200,Seed,6575000,blueboard.com,7.734246575342466,850115.1257527453,1,0,125.0
509,Startup,https://angel.co/company/lifedojo,LifeDojo,"
The Employee Health Behavior Change Platform
",2013-02-01,San Francisco,B2B,11-50,Series A,6400000,lifedojo.com,7.315068493150685,874906.3670411985,1,0,25.0
510,Startup,https://angel.co/company/tute-genomics,Tute Genomics,"
Cloud-based Genome Analysis for Precision Medicine
",2013-03-01,Provo,Startups,11-50,Acquired,7700000,tutegenomics.com,7.238356164383561,1063777.441332324,1,0,25.0
511,Startup,https://angel.co/company/maverix-biomics,Maverix Biomics,"
Next generation genomic data management, exploration, and visualization
",2013-07-01,San Mateo,Bioinformatics,1-10,Series A,7350000,maverixbio.com,6.904109589041096,1064583.3333333333,1,0,5.0
512,Startup,https://angel.co/company/jaanuu,Jaanuu,"
Medical Apparel Reimagined
",2013-04-01,Los Angeles,Technology,11-50,Seed,7625000,Jaanuu.com,7.153424657534247,1065923.018000766,1,0,25.0
513,Startup,https://angel.co/company/zapprx,ZappRx,"
",2013-07-01,Boston,Mobile Payments,11-50,Series A,7600000,ZappRx.com,6.904109589041096,1100793.650793651,1,0,25.0
514,Startup,https://angel.co/company/fitstar,FitStar,"
Adaptive fitness applications
",2013-08-01,San Francisco,Fitness,11-50,Acquired,6700000,fitstar.com,6.8191780821917805,982523.1016472479,1,0,25.0
515,Startup,https://angel.co/company/dmetrics,dMetrics,"
AI for everyone
",2016-09-01,New York City,Machine Learning,11-50,Seed,7930000,dmetrics.com,3.7315068493150685,2125146.8428781205,1,0,25.0
516,Startup,https://angel.co/company/spryhealth,Spry Health,"
Predicting the progression of disease & clinical risk of people with chronic illnesses
",2013-09-01,Palo Alto,Fitness,11-50,Seed,7000000,spryhealth.com,6.734246575342466,1039462.9780309194,1,0,25.0
517,Startup,https://angel.co/company/metamason,Metamason,"
Truly Personalized Respiratory Devices via 3D Scanning & Printing
",2013-12-01,Los Angeles,Medical Devices,11-50,Seed,6700000,metamason.com,6.484931506849315,1033164.3430502746,1,0,25.0
518,Startup,https://angel.co/company/erelevance,eRelevance,"
Progressive Patient Engagement Service for Healthcare Providers
",2014-01-01,Austin,Health Care Information Technology,1-10,Seed,7200000,erelevencecorp.com,6.4,1125000.0,1,0,5.0
519,Startup,https://angel.co/company/thistle-1,Thistle,"
Healthy and Affordable Preprepared Meals. Delivered
",2014-03-01,San Francisco,Subscription Businesses,201-500,Seed,6650000,thistle.co,6.238356164383561,1065985.9464207292,1,0,350.0
520,Startup,https://angel.co/company/nirmidas-biotech,Nirmidas Biotech,"
",2016-02-01,Palo Alto,Diagnostics,1-10,Series A,7000000,nirmidas.com,4.315068493150685,1622222.2222222222,1,0,5.0
521,Startup,https://angel.co/company/catalia-health,Catalia Health,"
Effective patient care management
",2014-10-01,San Francisco,Medication Adherence,11-50,Seed,7750000,cataliahealth.com,5.652054794520548,1371182.7435773145,1,0,25.0
522,Startup,https://angel.co/company/hykso,FightCamp (f.k.a Hykso),"
Connected at-home boxing workouts
",2015-05-01,Costa Mesa,Fitness,11-50,Seed,6700000,joinfightcamp.com,5.071232876712329,1321177.7417612101,1,0,25.0
523,Startup,https://angel.co/company/worklete,Worklete,"
Reducing injuries, costs, and inefficiencies for frontline workforces
",2015-10-01,San Francisco,Corporate Wellness,11-50,Series A,7875000,worklete.com,4.652054794520548,1692800.3533568906,1,0,25.0
524,Startup,https://angel.co/company/breakthrough-com,Breakthrough,"
Online mental healthcare
",2010-10-01,Redwood City,,1-10,Acquired,6000000,breakthrough.com,9.654794520547945,621452.8944381385,1,0,5.0
525,Startup,https://angel.co/company/caredox,CareDox,"
Support K12 schools in health care management
",2011-03-01,New York City,K-12 Education,11-50,Seed,6050000,caredox.com,9.241095890410959,654684.2573376816,1,0,25.0
526,Startup,https://angel.co/company/cellscope,CellScope,"
We're turning your smartphone into a digital first aid kit
",2011-05-01,San Francisco,Diagnostics,11-50,Series A,5500000,cellscope.com,9.073972602739726,606129.22705314,1,0,25.0
527,Startup,https://angel.co/company/cureatr,Cureatr,"
Mobile Care Coordination
",2014-06-01,New York City,Health Care Information Technology,11-50,Series A,6125000,cureatr.com,5.986301369863014,1023169.3363844393,1,0,25.0
528,Startup,https://angel.co/company/everymove,EveryMove,"
Fitness inspiraton & goal motivation 
",2011-07-01,Seattle,Quantified Self,11-50,Acquired,6118000,everymove.org,8.906849315068493,686887.1116579514,1,0,25.0
529,Startup,https://angel.co/company/wellnessfx,WellnessFX,"
The Leading Cloud-Based Health and Wellness Destination
",2012-04-01,San Francisco,Personal Health,11-50,Acquired,5850000,wellnessfx.com,8.153424657534247,717489.9193548387,1,0,25.0
530,Startup,https://angel.co/company/striiv,Striiv,"
Behavior & Biometric Validation at Scale for Healthcare
",2013-09-01,Redwood City,Mobile Health,11-50,Series A,6000000,striiv.com,6.734246575342466,890968.2668836452,1,0,25.0
531,Startup,https://angel.co/company/fit3d,Fit3D,"
Using 3D scanners, resulting data, and predictive AI solutions to solve massive problems
",2013-02-01,San Mateo,Fitness,11-50,Seed,5390000,fit3d.com,7.315068493150685,736835.2059925094,1,0,25.0
532,Startup,https://angel.co/company/wildflower-health,Wildflower Health,"
Mobile programs that make healthcare smarter
",2012-12-01,San Francisco,Mobile Health,11-50,Series B,5100000,wildflowerhealth.com,7.484931506849315,681368.9604685212,1,0,25.0
534,Startup,https://angel.co/company/inbox-health,Inbox Health,"
Transforming Medical Billing
",2013-02-01,New Haven,Billing,11-50,Seed,5175434,inboxhealth.com,7.315068493150685,707503.1498127341,1,0,25.0
535,Startup,https://angel.co/company/rubiconmd,RubiconMD,"
Expert insights and better care. eConsults that connect clinicians to top specialists
",2013-03-01,New York City,Mobile Health,11-50,Series A,5300000,rubiconmd.com,7.238356164383561,732210.44663134,1,0,25.0
536,Startup,https://angel.co/company/smartvisionlabs,Smart Vision Labs,"
building a better vision exam
",2014-01-01,New York City,Mobile Health,11-50,Series A,6100000,smartvisionlabs.com,6.4,953125.0,1,0,25.0
539,Startup,https://angel.co/company/gozio,Gozio Health,"
Gozio Health provides the #1 patient engagement platform for hospitals and health systems
",2016-04-01,San Francisco,Indoor Positioning,11-50,Series A,5700000,goziohealth.com,4.1506849315068495,1373267.3267326732,1,0,25.0
540,Startup,https://angel.co/company/noteworth,Noteworth,"
Harmonizing healthcare delivery
",2015-01-01,Hoboken,Digital Health,11-50,Seed,5100000,noteworth.com,5.4,944444.4444444444,1,0,25.0
541,Startup,https://angel.co/company/lose-it-1,Lose It!,"
Mobile health and fitness tracking
",2015-04-01,Boston,Fitness,11-50,Series A,5500000,loseit.com,5.153424657534247,1067251.461988304,1,0,25.0
542,Startup,https://angel.co/company/genos-research,Genos Research,"
Consumer Genomics Platform for Personal Discovery and Research
",2016-06-01,San Francisco,Genomics,11-50,Acquired,6000000,genosresearch.com,3.9835616438356163,1506189.8211829436,1,0,25.0
543,Startup,https://angel.co/company/werecover,WeRecover,"
WeRecover is a transparent search engine for addiction recovery resources
",2017-03-01,Los Angeles,Mobile Health,11-50,Seed,5250000,WeRecover.com,3.2356164383561645,1622565.6223539372,1,0,25.0
544,Startup,https://angel.co/company/cognifit,CogniFit,"
CogniFit is a leading developer of online brain training and brain fitness solutions
",2015-08-01,New York City,Pharmaceuticals,1-10,Series A,5000000,cognifit.com,4.8191780821917805,1037521.318931211,1,0,5.0
546,Startup,https://angel.co/company/vitaportal,VitaPortal,"
Provider of Personalized Real-time Healthcare Information
",2012-07-01,Moscow,Mobile Advertising,11-50,-,4350000,vitaportal.ru,7.904109589041096,550346.6204506066,1,0,25.0
547,Startup,https://angel.co/company/waybetter,WayBetter,"
Bet on yourself!
",2012-08-01,New York City,Gamification,11-50,Series A,4750000,waybetter.com,7.8191780821917805,607480.7288016819,1,0,25.0
548,Startup,https://angel.co/company/swift-shift,SWIFT SHIFT,"
Agencies, Caregivers, and Patients: Homecare Connected
",2012-12-01,Philadelphia,,11-50,Seed,4700000,swiftshift.com,7.484931506849315,627928.2576866765,1,0,25.0
549,Startup,https://angel.co/company/happier,Happier,"
Focusing on the positive and staying connected to people you care about makes you happier
",2013-01-01,Boston,Personal Health,1-10,Seed,4400000,happier.com,7.4,594594.5945945946,1,0,5.0
551,Startup,https://angel.co/company/newtopia,Newtopia,"
Inspiring individuals to live healthier everyday
",2013-03-01,Toronto,Corporate Wellness,51-200,Seed,5000000,newtopia.com,7.238356164383561,690764.572293717,1,0,125.0
552,Startup,https://angel.co/company/kitman-labs,Kitman Labs,"
Powering human performance
",2013-04-01,Menlo Park,Fitness,11-50,-,4682500,kitmanlabs.com,7.153424657534247,654581.5779394867,1,0,25.0
553,Startup,https://angel.co/company/transitscreen,TransitScreen,"
Helping corporate workplaces enhance the commute experience
",2013-05-01,Washington DC,Corporate Wellness,11-50,Closed,4475000,transitscreen.com,7.071232876712329,632845.7962030221,1,0,25.0
554,Startup,https://angel.co/company/wecounsel,WeCounsel,"
Telemedicine Software Service With An Emphasis In Mental Health
",2013-05-01,Chattanooga,Mental Health,1-10,Series A,4400000,wecounsel.com,7.071232876712329,622239.4420767145,1,0,5.0
555,Startup,https://angel.co/company/clariture,Clariture,"
Enterprise Healthcare Marketing Platform
",2013-11-01,San Francisco,Social CRM,11-50,Series A,4500000,clariturehealth.com,6.567123287671233,685231.5394242803,1,0,25.0
556,Startup,https://angel.co/company/esprit-health,Esprit-Health,"
Apple store service meets Emergency Hospital
",2014-01-01,Texas,Healthcare,1-10,Series A,5000000,,6.4,781250.0,1,0,5.0
557,Startup,https://angel.co/company/unaliwear,UnaliWear,"
Wearable ""OnStar for People""
",2014-02-01,Austin,Medical Devices,11-50,Seed,4600000,unaliwear.com,6.315068493150685,728416.485900217,1,0,25.0
558,Startup,https://angel.co/company/circlelink-health,CircleLink Health,"
Improving Health and Dr. Revenue with Best-in-Class Tele-nursing Platform
",2014-04-01,New York City,Health Care Information Technology,1-10,Seed,5000000,circlelinkhealth.com,6.153424657534247,812555.6544968833,1,0,5.0
559,Startup,https://angel.co/company/chai,Chai,"
A biological testing lab on your desktop
",2014-12-01,Santa Clara,Medical Devices,11-50,Seed,5000000,chaibio.com,5.484931506849315,911588.4115884117,1,0,25.0
560,Startup,https://angel.co/company/careskore-1,CareSkore,"
Personalized Population Health Management
",2015-01-01,San Francisco,Predictive Analytics,11-50,Seed,4300000,careskore.com,5.4,796296.2962962963,1,0,25.0
561,Startup,https://angel.co/company/lifefuels,LifeFuels,"
Personalized beverages, wherever life takes you
",2015-03-01,Reston,Personal Health,11-50,Seed,5000000,lifefuels.co,5.238356164383561,954497.9079497908,1,0,25.0
562,Startup,https://angel.co/company/plume-labs,Plume Labs,"
Clean air, together
",2017-02-01,San Francisco,Consumer Electronics,11-50,Seed,4500000,plumelabs.com,3.3123287671232875,1358560.794044665,1,0,25.0
563,Startup,https://angel.co/company/nocd-1,NOCD,"
NOCD is an app that helps people with OCD worry less and live more
",2016-07-01,Chicago,,11-50,Series A,5000000,treatmyocd.com,3.9013698630136986,1281601.1235955057,1,0,25.0
566,Startup,https://angel.co/company/nextgxdx,NextGxDx,"
Genetics marketplace for docs
",2012-07-01,Nashville,Genetic Testing,1-10,Series B,3949029,nextgxdx.com,7.904109589041096,499617.18717504333,1,0,5.0
568,Startup,https://angel.co/company/crowdmed,CrowdMed,"
CrowdMed empowers anyone to solve medical mysteries
",2012-10-01,San Francisco,Crowdsourcing,1-10,Seed,3145000,crowdmed.com,7.652054794520548,411000.7160759041,1,0,5.0
569,Startup,https://angel.co/company/acupera,Acupera,"
Population Health Platform
",2013-03-01,San Francisco,Health Care Information Technology,11-50,Series A,4000000,acupera.com,7.238356164383561,552611.6578349735,1,0,25.0
570,Startup,https://angel.co/company/solvebio,SolveBio,"
Genomic Intelligence Platform
",2013-11-01,New York City,Bioinformatics,1-10,Seed,3900000,solvebio.com,6.567123287671233,593867.3341677096,1,0,5.0
571,Startup,https://angel.co/company/volt-athletics,Volt Athletics,"
The first performance training AI for everyone
",2013-09-01,Seattle,Fitness,11-50,Seed,3791474,voltathletics.com,6.734246575342466,563013.8364524003,1,0,25.0
572,Startup,https://angel.co/company/infermedica,Infermedica,"
AI-driven digital health company specialized in tools for preliminary diagnosis and triage
",2013-09-01,Wrocław,Mobile Health,51-200,Seed,3650000,infermedica.com,6.734246575342466,542005.6956875508,1,0,125.0
573,Startup,https://angel.co/company/mahmee,Mahmee,"
Mapping the Maternal Healthcare Ecosystem
",2015-10-01,Los Angeles,Women-Focused,11-50,Seed,4005000,mahmee.com,4.652054794520548,860909.8939929329,1,0,25.0
574,Startup,https://angel.co/company/isentio,Isentio,"
Pathogen Identification as a Service
",2013-12-01,Sunnyvale,Bioinformatics,1-10,Seed,4150000,isentio.com,6.484931506849315,639945.078158006,1,0,5.0
575,Startup,https://angel.co/company/doctible,Doctible,"
Helping private practices to grow and thrive by driving patient retention
",2014-01-01,San Diego,SaaS,51-200,Seed,4200000,doctible.com,6.4,656250.0,1,0,125.0
576,Startup,https://angel.co/company/hammerhead,Hammerhead,"
A new-generation cycling computer
",2014-03-01,San Francisco,Fitness,11-50,Seed,4200000,hammerhead.io,6.238356164383561,673254.2819499342,1,0,25.0
